unctad_case_id,case_name,short_case_name,year_of_initiation,italaw_link,applicable_iia,respondent_state,investor_nationality,investment_summary,economic_sector,arbitral_rules,administering_institution,case_status,decisions,amount_claimed_usd,amount_awarded_usd,breaches_alleged,breaches_found,follow_on_proceedings,fetch_status
840,LTME and Madamobil v. Madagascar,LTME and Madamobil v. Madagascar,2017.0,,Madagascar - Mauritius BIT (2004),Madagascar,Mauritius,"Details of investment Investment of alleged USD 60 million in providing telecommunications services in Madagascar (under the Life brand), including a licence to operate 3G mobile services received in 2008. Summary of the dispute Claims arising out of the revocation, in 2012, of Madamobil’s operating licence for telecommunication services.",Economic sector | Tertiary: J - Information and communication | Economic subsector | 61 - Telecommunications,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 29 August 2023 Dissenting Opinion by Fernando Mantilla-Serrano,Data not available,Data not available,Data not available,None - jurisdiction declined,Type of follow-on proceedings None,success
841,Eutelsat v. Mexico,Eutelsat v. Mexico,2017.0,,France - Mexico BIT (1998),Mexico,France,"Details of investment Ownership of Satélites Mexicanos (Satmex), a Mexican company that operates telecom satellites, allegedly acquired for USD 831 million. Summary of the dispute Claims arising out of a regulatory requirement to reserve a certain amount of megahertz of satellite companies’ overall capacity for Government use; the claimant alleges that Satmex has been required to provide a greater amount of megahertz to the State than its competitors.",Economic sector | Tertiary: J - Information and communication | Economic subsector | 61 - Telecommunications,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 15 September 2021 (Spanish),120.00 mln USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsMost-favoured nation treatmentFull protection and security, or similarIndirect expropriation",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
842,Gardabani and Silk Road v. Georgia,Gardabani and Silk Road v. Georgia,2017.0,https://www.italaw.com/cases/10246,Georgia - Netherlands BIT (1998),Georgia,Netherlands,Details of investment Investments in electricity generation plants. Summary of the dispute Claims arising out of the Government’s alleged refusal to raise electricity tariffs.,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 27 October 2022 Dissenting Opinion by Zachary Douglas,206.30 mln USD,75.90 mln USD,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresUmbrella clause",Umbrella clause,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Pending Decisions None ICSID Annulment Committee Mourre, A. (President) Nolan, M. D. (Member) Ó Hoisín, C. (Member)",success
843,Lotus v. Turkmenistan (I),Lotus v. Turkmenistan (I),2017.0,https://www.italaw.com/cases/8095,Turkey - Turkmenistan BIT (1992) The Energy Charter Treaty (1994),Turkmenistan,Türkiye,"Details of investment Investments in two electric power plants and a refinery. Summary of the dispute Claims arising out of the Government’s alleged failure to make a retention payment for the construction of two 254-megawatt electric power plants, and of unlawfully terminating the agreement relating to the refinery.","Economic sector | Secondary: C - Manufacturing | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 19 - Manufacture of coke and refined petroleum products | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 6 April 2020,66.20 mln EUR (71.50 mln USD),Data not available,"Most-favoured nation treatmentUmbrella clauseNational treatmentFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsIndirect expropriation",None - jurisdiction declined,Type of follow-on proceedings None,success
844,Future Pipe v. Egypt,Future Pipe v. Egypt,2017.0,,Egypt - Netherlands BIT (1996),Egypt,Netherlands,"Details of investment Investments in building a water and sewage distribution network in ""New Cairo"", Egypt’s new administrative capital, pursuant to a contract with the State. Summary of the dispute Claims arising out of the Government’s alleged expropriation of the claimant’s investment in a pipe manufacturing enterprise.",Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) dated 9 November 2022,Data not available,Data not available,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
845,Elitech and Razvoj v. Croatia,Elitech and Razvoj v. Croatia,2017.0,https://www.italaw.com/cases/6623,Croatia - Netherlands BIT (1998),Croatia,Netherlands,"Details of investment Investments in constructing a golf resort development near Dubrovnik. Summary of the dispute Claims arising out of Croatia’s allegedly arbitrary and unfair actions that have led to a standstill in construction of a golf resort. Related facts include opposition from local politicians and residents, who complained that the project would damage the environment and threaten Dubrovnik's UNESCO World Heritage Site status, and the Croatian court rulings attempting to overturn the energy and environment ministry approval of the resort’s construction.","Economic sector | Tertiary: F - Construction | Tertiary: R - Arts, entertainment and recreation | Tertiary: L - Real estate activities | Economic subsector | 41 - Construction of buildings | 93 - Sports activities and amusement and recreation activities | 68 - Real estate activities",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 23 May 2023,300.00 mln EUR (324.40 mln USD),Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsIndirect expropriation",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
846,EcoDevelopment and EcoEnergy v. Tanzania,EcoDevelopment and EcoEnergy v. Tanzania,2017.0,https://www.italaw.com/cases/10180,Sweden - United Republic of Tanzania BIT (1999),"Tanzania, United Republic of",Sweden,"Details of investment Investment of the alleged USD 52 million in developing 20,000 hectares of land to grow sugar cane and produce ethanol. Summary of the dispute Claims arising out of the cancellation by the Government, in 2016, of the claimants’ sugar cane and ethanol project on the grounds that it would have adverse impact on local wildlife.","Economic sector | Primary: A - Agriculture, forestry and fishing | Secondary: C - Manufacturing | Economic subsector | 1 - Crop and animal production, hunting and related service activities | 20 - Manufacture of chemicals and chemical products",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 13 April 2022,Data not available,164.60 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentArbitrary, unreasonable and/or discriminatory measures","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Discontinued Decisions Decision on preliminary objections pursuant to ICSID Arbitration Rule 41(5) dated 1 November 2022 Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rules 53 and 43(1) dated 16 May 2023 ICSID Annulment Committee Nolan, M. D. (President) Malinvaud, C. (Member) Muigai, G. (Member)",success
847,Raiffeisen Bank v. Croatia (I),Raiffeisen Bank v. Croatia (I),2017.0,https://www.italaw.com/cases/6634,Austria - Croatia BIT (1997),Croatia,Austria,"Details of investment Investments in the banking industry in Croatia through Raiffeisenbank Austria d.d., a company organized under the laws of the Republic of Croatia and 100 per cent indirectly owned by Raiffeisen Bank International AG. Summary of the dispute Claims arising out of the law that prescribed a change in the currency of loans, issued in Croatia, from Swiss Franc to the Euro.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Decision on the Respondent’s Jurisdictional Objections dated 30 September 2020 Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) dated 6 August 2021,64.50 mln EUR (75.50 mln USD)Awarded through settlementData not available,,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
848,Vento v. Mexico,Vento v. Mexico,2017.0,https://www.italaw.com/cases/6893,NAFTA (1992),Mexico,United States of America,"Details of investment Investments in manufacturing of motorcycles. Summary of the dispute Claims arising out of Mexico’s allegedly discriminatory treatment of the claimant, which includes subjecting Vento’s motorcycles to a 30 per cent import duty (on the ground that they are in fact made in China, not in the United States), whereas the claimant’s competitors do not pay such import duty.","Economic sector | Secondary: C - Manufacturing | Economic subsector | 29 - Manufacture of motor vehicles, trailers and semi-trailers",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 6 July 2020,2748.00 mln USD,Data not available,"National treatmentMost-favoured nation treatmentFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures",None - all claims dismissed at the merits stage,Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision set aside in its entirety Decisions Judgment of the Ontario Superior Court dated 23 October 2023 Judgment of the Ontario Court of Appeal dated 4 February 2025,success
849,Addiko Bank v. Montenegro,Addiko Bank v. Montenegro,2017.0,https://www.italaw.com/cases/10093,Austria - Montenegro BIT (2001),Montenegro,Austria,"Details of investment Investments in the banking industry in Montenegro. Summary of the dispute Claims arising out of the legislation, passed by Montenegro in 2015, requiring the conversion into Euros of mortgages held in Swiss Francs.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 24 November 2021,Data not available,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
850,Venoklim v. Venezuela,Venoklim v. Venezuela,2017.0,https://www.italaw.com/cases/12229,"Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Venezuela, Bolivarian Republic of",Netherlands,Details of investment Investments in five companies in Venezuela’s motor lubricants industry. Summary of the dispute Claims arising out of the 2010 nationalization of a petrochemical plant.,Economic sector | Secondary: C - Manufacturing | Economic subsector | 19 - Manufacture of coke and refined petroleum products,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 17 October 2024 (Spanish),Data not available,Data not available,Direct expropriation,None - jurisdiction declined,Type of follow-on proceedings None,success
851,Arin Capital and Khudyan v. Armenia,Arin Capital and Khudyan v. Armenia,2017.0,https://www.italaw.com/cases/8413,Armenia - United States BIT (1992),Armenia,United States of America,"Details of investment Investment in a real estate development project that included a plan to sell luxury apartments in the Armenian capital. Summary of the dispute Claims arising out of Armenia’s alleged failure to act on the claimants’ repeated pleas that they were defrauded by the local business partner. According to the claimants, Armenia’s officials and courts did nothing to investigate and correct the alleged fraud.",Economic sector | Tertiary: L - Real estate activities | Economic subsector | 68 - Real estate activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 15 December 2021,10.70 mln USD,Data not available,Data not available,None - jurisdiction declined,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision partially annulled Decisions Decision on Annulment dated 21 July 2023 ICSID Annulment Committee Greenwood, C. (President) Cicchetti, T. M. (Member) Onwuamaegbu, U. (Member)",success
852,Addiko Bank v. Croatia,Addiko Bank v. Croatia,2017.0,https://www.italaw.com/cases/8215,Austria - Croatia BIT (1997),Croatia,Austria,"Details of investment Investments in the banking industry in Croatia. Summary of the dispute Claims arising out of the law that prescribed a change in the currency of loans, issued in Croatia, from Swiss Franc to the Euro.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on Croatia’s Jurisdictional Objection Related to the Alleged Incompatibility of the BIT with the EU Acquis dated 12 June 2020,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
853,APCL v. Gambia,APCL v. Gambia,2017.0,,Gambia - Netherlands BIT (2002),Gambia,Netherlands,Details of investment Investment of the alleged USD 64 million in the exploration of oil in the licensed areas. Summary of the dispute Claims arising out of the alleged wrongful termination by the Government of licences for exploration of two off-shore oil blocks.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 9 - Mining support service activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) dated 7 June 2018,Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
854,DCM Energy and others v. Spain,DCM Energy and others v. Spain,2017.0,,The Energy Charter Treaty (1994),Spain,GermanySwitzerland,Details of investment Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
855,MAKAE v. Saudi Arabia,MAKAE v. Saudi Arabia,2017.0,https://www.italaw.com/cases/9043,France - Saudi Arabia BIT (2002),Saudi Arabia,France,Details of investment Investments in Saudi Arabia’s fashion retail sector. Summary of the dispute Claims arising out of allegedly systematic and unwarranted harassment by the Government that led to the alleged destruction of the claimant’s fashion retail business in the country.,"Economic sector | Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles | Economic subsector | 47 - Retail trade, except of motor vehicles and motorcycles",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 30 August 2021,570.60 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresNational treatmentMost-favoured nation treatment",None - jurisdiction declined,Type of follow-on proceedings None,success
856,Samsung v. Saudi Arabia,Samsung v. Saudi Arabia,2017.0,,"Korea, Republic of - Saudi Arabia BIT (2002)",Saudi Arabia,"Korea, Republic of",Details of investment Investment in the construction of an electric power plant. Summary of the dispute Claims arising out of the alleged termination of a power plant construction contract.,Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 3 December 2021,Data not available,Data not available,Data not available,Data not available,Type of follow-on proceedings None,success
857,The Lopez-Goyne Family Trust and others v. Nicaragua,The Lopez-Goyne Family Trust and others v. Nicaragua,2017.0,https://www.italaw.com/cases/7486,CAFTA - DR (2004),Nicaragua,United States of America,"Details of investment Investments in excess of USD 70 million, in exploration activities relating to an oil concession granted to a Nicaraguan company Industria Oklahoma Nicaragua S.A, allegedly leading to significant oil discoveries, estimated to generate over USD 1 billion in revenue over the concession’s 30-year exploitation phase. Summary of the dispute Claims arising out of the termination of a 3,400 square kilometre concession for hydrocarbon exploration and exploitation.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 9 - Mining support service activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 1 March 2023 (English) Separate Concurring Opinion by José A. Martínez de Hoz Award dated 1 March 2023 (Spanish) Separate Concurring Opinion by José A. Martínez de Hoz,198.00 mln USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsDirect expropriationIndirect expropriation",None - all claims dismissed at the merits stage,Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Discontinued Decisions Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rules 53 and 44 dated 20 September 2023,success
858,Al Ramahi v. Hungary,Al Ramahi v. Hungary,2017.0,https://www.italaw.com/cases/11437,Hungary - Jordan BIT (2007),Hungary,Jordan,Details of investment Investments in a hotel chain in Budapest. Summary of the dispute Claims arising out of local courts’ initiation of liquidation proceedings against the claimant’s company which operated in the hotel business.,Economic sector | Tertiary: I - Accommodation and food service activities | Economic subsector | 55 - Accommodation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 19 April 2021,Data not available,Data not available,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
859,Cunico v. Macedonia,Cunico v. Macedonia,2017.0,,"Macedonia, The former Yugoslav Republic of - Netherlands BIT (1998)",North Macedonia,Netherlands,"Details of investment Full ownership of FENI Industries, a local company that served as a vehicle for the claimant’s investments in ferro-nickel mining and production operations in Macedonia. Summary of the dispute Claims arising out of the alleged interference by the Government in the claimant’s planned sale of FENI Industries, which allegedly led to initiation of bankruptcy proceedings against FENI.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) dated 31 January 2020,Data not available,Data not available,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
860,PNB Banka and others (formerly Norvik Banka) v. Latvia,PNB Banka and others (formerly Norvik Banka) v. Latvia,2017.0,https://www.italaw.com/cases/7024,Latvia - United Kingdom BIT (1994),Latvia,United Kingdom,Details of investment Majority shareholding in the Latvian bank AS PNB Banka (formerly AS Norvik Banka). Summary of the dispute Claims arising out of the sanctions imposed by the Government on the claimants’ bank for its alleged failure to comply with anti-money laundering and terrorist-financing regulations.,"Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on the Intra-EU Objection dated 14 May 2021,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
861,Erste Group Bank AG and others v. Croatia,Erste Group Bank AG and others v. Croatia,2017.0,,Austria - Croatia BIT (1997),Croatia,Austria,"Details of investment Investments in the banking industry in Croatia. Summary of the dispute Claims arising out of the law that prescribed a change in the currency of loans, issued in Croatia, from Swiss Franc to the Euro.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Order of the tribunal taking of note of the discontinuance of the proceeding dated 15 July 2021,150.00 mln EUR (180.00 mln USD)Awarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
862,Carissa v. India,Carissa v. India,2017.0,,India - Mauritius BIT (1998),India,Mauritius,Details of investment Summary of the dispute,Economic sector | Data not available | Economic subsector | Data not available,UNCITRAL,Data not available,Discontinued,Data not available,50.00 mln USD,Data not available,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
863,Corporación América and Kuntur Wasi v. Peru,Corporación América and Kuntur Wasi v. Peru,2018.0,https://www.italaw.com/cases/10846,Argentina - Peru BIT (1994),Peru,Argentina,"Details of investment 40-year concession contract for the construction and operation of an airport at Chinchero, a town in South-East Peru. Summary of the dispute Claims arising out of Peru’s cancellation of a contract to design, build and operate a new airport.",Economic sector | Tertiary: F - Construction | Tertiary: H - Transportation and storage | Economic subsector | 41 - Construction of buildings | 52 - Warehousing and support activities for transportation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,"Decision on Jurisdiction, Liability and Quantum dated 11 August 2023 Award dated 9 May 2024 (English) Award dated 9 May 2024 (Spanish)",283.70 mln USD,61.30 mln USD,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresFull protection and security, or similarUmbrella clause","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures",Type of follow-on proceedings None,success
864,Enagás v. Peru (I),Enagás v. Peru (I),2018.0,,Peru - Spain BIT (1994),Peru,Spain,"Details of investment A 25% stake in a 34-year concession to build a 1100-kilometre natural gas pipeline, known as the Gasoducto del Sur Peruano (“GSP”) pipeline project. Summary of the dispute Claims arising out of Peru’s cancellation of a concession contract to build a natural gas pipeline.",Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 20 December 2024 Dissenting Opinion by Claus von Wobeser Decision on the rectification of the award dated 23 May 2025,511.00 mln USD,176.40 mln USD,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Pending Decisions None,success
865,Itochu v. Spain,Itochu v. Spain,2018.0,https://www.italaw.com/cases/12123,The Energy Charter Treaty (1994),Spain,Japan,"Details of investment Investment in a renewable energy generation enterprise. Summary of the dispute Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.","Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,"Decision on Jurisdiction, Liability and Certain Aspects of Quantum dated 21 March 2023 Award dated 16 December 2024",93.00 mln EUR (105.50 mln USD),Data not available,Data not available,Data not available,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Pending Decisions None ICSID Annulment Committee Loh, Q. (President) Riofrio Piché, M. (Member) Savola, M. (Member)",success
866,Aris Mining (formerly Gran Colombia) v. Colombia,Aris Mining (formerly Gran Colombia) v. Colombia,2018.0,https://www.italaw.com/cases/5410 ,Canada - Colombia FTA (2008),Colombia,Canada,Details of investment Mining rights over gold and silver deposits in the Segovia and Marmato municipalities in Colombia. Summary of the dispute Claims arising out of the Government’s alleged failure to address civil strikes and other disruptions to the claimant’s mining projects caused by illegal artisanal miners and a guerilla group.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on the Bifurcated Jurisdictional Issue dated 23 November 2020,700.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar",Pending,Type of follow-on proceedings None,success
867,Emerge Gaming and Tantalum International v. Egypt,Emerge Gaming and Tantalum International v. Egypt,2018.0,,Australia - Egypt BIT (2001),Egypt,Australia,"Details of investment 50% shareholding in Tantalum Egypt JSC, an Egyptian company that held the mining rights to the Abu Dabbab mine. Summary of the dispute Claims arising out of the Egyptian authorities’ allegedly illegal measures to gain control of the claimants’ licences for the exploitation of a tantalum and tin mine.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Order of the tribunal taking note of the discontinuance of the proceeding dated 12 October 2021,Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
868,Bay View and Spalena v. Rwanda,Bay View and Spalena v. Rwanda,2018.0,https://www.italaw.com/cases/9419,Rwanda - United States BIT (2008),Rwanda,United States of America,Details of investment Mining rights under a concession contract for the Biserero mining site in Rwanda. Summary of the dispute Claims arising out of the revocation by the Government of the claimants’ mining licences and the subsequent award of the mining concession to a different company.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 30 March 2022,95.00 mln USD,Data not available,"National treatmentMost-favoured nation treatmentFull protection and security, or similarIndirect expropriation",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
869,Veolia Propreté v. Italy,Veolia Propreté v. Italy,2018.0,,The Energy Charter Treaty (1994),Italy,France,Details of investment Investment in renewable energy generation enterprise. Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
870,LSG Building Solutions and others v. Romania,LSG Building Solutions and others v. Romania,2018.0,https://www.italaw.com/cases/7838,The Energy Charter Treaty (1994),Romania,AustriaCyprusGermanyNetherlands,Details of investment Interest in a photovoltaic power plant located in Romania’s Giurgiu region. Summary of the dispute Claims arising out of certain changes to Romania’s incentive scheme for investments in the renewable energy sector.,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,"Decision on Jurisdiction, Liability and Principles of Reparation dated 11 July 2022 Dissenting Opinion of O. Thomas Johnson Award dated 20 February 2024 Dissenting Opinion by O. Thomas Johnson",153.80 mln EUR (156.60 mln USD),34.70 mln EUR (36.30 mln USD),"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresOther","Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Pending Decisions None ICSID Annulment Committee Ridings, P. (President) McLachlin, B. (Member) Wallgren-Lindholm, C. (Member)",success
871,Ipek v. Türkiye,Ipek v. Türkiye,2018.0,https://www.italaw.com/cases/8058,Turkey - United Kingdom BIT (1991),Türkiye,United Kingdom,"Details of investment Shareholding of 100% in the Turkish company Koza-İpek Holding A.Ş., the owner of the Koza Group of companies. Summary of the dispute Claims arising out of certain measures taken by the Government against the Koza Group of companies on the basis of their alleged involvement in financing terrorism, including the seizure of assets and the placement of Koza companies under the control of trustees.",Economic sector | Primary: B - Mining and quarrying | Tertiary: J - Information and communication | Economic subsector | 6 - Extraction of crude petroleum and natural gas | 61 - Telecommunications,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 8 December 2022,Data not available,Data not available,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatmentTransfer of funds",None - jurisdiction declined,Type of follow-on proceedings None,success
872,HOCHTIEF v. Saudi Arabia,HOCHTIEF v. Saudi Arabia,2018.0,,Germany - Saudi Arabia BIT (1996),Saudi Arabia,Germany,"Details of investment 55% shareholding in a joint venture that had been granted a contract to redesign, upgrade and expand two terminals at the King Khaled International Airport in Riyadh. Summary of the dispute Claims arising out of the Government’s cancellation of a contract to expand the airport in Riyadh, and the subsequent reassignment of the project to a different joint venture.",Economic sector | Tertiary: F - Construction | Economic subsector | 41 - Construction of buildings,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) dated 22 August 2019,Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
